xgb_p_healthy,xgb_p_bleached
0.021243753,0.9787562
0.003605447,0.99639463
0.0792414,0.92075855
0.0036762701,0.9963237
0.0594632,0.9405368
0.018872596,0.9811274
0.046083815,0.9539162
0.018872596,0.9811274
0.046083815,0.9539162
0.15415104,0.845849
0.023243051,0.97675693
0.07633242,0.9236676
0.0020919018,0.9979081
0.0074516507,0.99254835
0.026895327,0.9731047
0.005409713,0.9945903
0.00585889,0.99414116
0.13245282,0.8675472
0.0132009825,0.98679906
0.0063730073,0.993627
0.09182857,0.9081714
0.042068012,0.95793205
0.20295635,0.7970437
0.078387566,0.9216124
0.009898784,0.9901012
0.013450075,0.9865499
0.0025460871,0.99745387
0.014569166,0.98543084
0.088387676,0.91161233
0.12554823,0.87445176
0.046437487,0.95356244
0.022480829,0.9775192
0.019542038,0.98045796
0.20456938,0.7954306
0.10221679,0.8977832
0.04598423,0.9540158
0.037143074,0.962857
0.014296747,0.98570323
0.16457623,0.8354237
0.020452274,0.97954774
0.06509559,0.93490434
0.021055687,0.9789443
0.021055687,0.9789443
0.023060752,0.9769392
0.058085576,0.9419144
0.06377546,0.9362246
0.022134164,0.9778659
0.062042385,0.93795764
0.013301541,0.9866985
0.024649257,0.9753508
0.020397982,0.97960204
0.0393762,0.9606238
0.032398265,0.9676017
0.07437928,0.9256207
0.045604657,0.9543954
0.1516383,0.84836173
0.08419312,0.9158069
0.08419312,0.9158069
0.047833275,0.95216674
0.05053557,0.9494645
0.19051963,0.8094803
0.04331531,0.9566847
0.029231682,0.97076833
0.050426483,0.94957346
0.046610992,0.9533889
0.027889557,0.97211045
0.13203195,0.8679681
0.1544699,0.84553003
0.013497576,0.98650247
0.013497576,0.98650247
0.02291242,0.97708756
0.02291242,0.97708756
0.012272766,0.9877273
0.0037453955,0.9962546
0.0028950707,0.99710494
0.002695807,0.99730426
0.01197831,0.9880216
0.007335284,0.9926647
0.002246268,0.9977537
0.0018435866,0.99815637
0.02236416,0.9776358
0.004933244,0.99506676
0.00773656,0.99226344
0.026042309,0.9739576
0.007078347,0.99292165
0.010023271,0.98997676
0.029444205,0.9705558
0.010046278,0.98995376
0.08593911,0.9140609
0.098499626,0.90150034
0.13840035,0.8615996
0.0631937,0.93680626
0.21200585,0.78799415
0.01768029,0.9823197
0.04444539,0.9555546
0.042832285,0.95716774
0.018715695,0.98128426
0.013337208,0.9866628
0.014352059,0.9856479
0.18359306,0.81640697
0.025288554,0.9747115
0.15504692,0.84495306
0.01235562,0.98764443
0.06642342,0.9335766
0.07218856,0.92781144
0.045883797,0.9541162
0.027621027,0.97237897
0.046799146,0.9532009
0.05387528,0.94612473
0.012059176,0.9879408
0.06459206,0.9354079
0.033322655,0.96667737
0.1134023,0.8865977
0.015006083,0.98499393
0.030754609,0.9692454
0.08176522,0.91823477
0.03713254,0.9628675
0.06793964,0.93206036
0.009383593,0.99061644
0.0538783,0.94612163
0.13075928,0.8692407
0.06914244,0.93085754
0.034697846,0.96530217
0.030564962,0.969435
0.011862219,0.98813784
0.040437367,0.9595626
0.050800074,0.9491999
0.013283307,0.98671675
0.027131256,0.9728688
0.052314736,0.9476853
0.013616055,0.9863839
0.0829126,0.9170874
0.12458968,0.8754103
0.10883953,0.8911605
0.041790858,0.95820916
0.0148873255,0.98511267
0.07755392,0.922446
0.022709977,0.9772901
0.021322664,0.97867733
0.027790759,0.9722092
0.027790759,0.9722092
0.0064941775,0.99350584
0.01730366,0.98269635
0.011091566,0.9889084
0.011545827,0.98845416
0.011298633,0.9887014
0.008226052,0.99177396
0.03386329,0.9661367
0.020290637,0.9797093
0.029446837,0.9705531
0.026664507,0.9733355
0.018574212,0.9814257
0.027982675,0.9720173
0.02325109,0.97674894
0.014720888,0.985279
0.044998553,0.9550014
0.01896939,0.9810306
0.022768382,0.9772316
0.010000117,0.98999995
0.010000117,0.98999995
0.007659042,0.99234104
0.057981767,0.9420183
0.0788568,0.92114323
0.035146,0.964854
0.13070972,0.8692903
0.041064683,0.9589353
0.10094348,0.8990565
0.026247608,0.97375244
0.027758982,0.972241
0.023986684,0.9760133
0.021992074,0.978008
0.015686385,0.9843136
0.008244791,0.9917552
0.021513147,0.97848684
0.03121485,0.9687851
0.1375663,0.8624337
0.067225516,0.9327744
0.16002402,0.83997595
0.06604938,0.93395066
0.02193161,0.9780684
0.10006711,0.89993286
0.014813006,0.98518693
0.089753315,0.9102467
0.08664049,0.9133596
0.1008632,0.89913684
0.09795304,0.9020469
0.07131024,0.9286897
0.073455535,0.9265444
0.08115153,0.91884845
0.024040332,0.9759597
0.23567325,0.7643268
0.15272157,0.8472785
0.11448273,0.88551724
0.040391255,0.9596087
0.26215762,0.7378424
0.228041,0.77195895
0.13735002,0.86265004
0.04415416,0.95584583
0.020418791,0.9795812
0.06851346,0.93148655
0.026409088,0.9735909
0.0129096,0.9870904
0.3025323,0.69746774
0.20199198,0.7980081
0.09298547,0.9070145
0.39337072,0.60662925
0.18363778,0.8163622
0.049003392,0.95099664
0.05680129,0.9431987
0.07915971,0.92084026
0.1019248,0.89807516
0.06997016,0.9300298
0.15489955,0.84510046
0.353633,0.646367
0.7027638,0.29723623
0.24573353,0.7542665
0.5909035,0.4090965
0.50465006,0.49534988
0.56546134,0.43453866
0.08652344,0.9134765
0.08556313,0.9144368
0.23611885,0.7638812
0.15093526,0.84906477
0.15093526,0.84906477
0.066268265,0.9337318
0.2406336,0.7593664
0.07916452,0.9208355
0.03692274,0.9630773
0.28391016,0.71608984
0.22570942,0.77429056
0.2199215,0.78007853
0.044551086,0.9554489
0.20375076,0.7962493
0.087097585,0.91290236
0.06874414,0.9312559
0.2292832,0.7707169
0.45713136,0.5428687
0.077995844,0.9220042
0.06552825,0.9344718
0.000815714,0.99918425
0.035561673,0.9644383
0.37758476,0.62241524
0.12133509,0.8786649
0.1944362,0.8055638
0.011997995,0.988002
0.08025648,0.9197435
0.41283256,0.58716744
0.07121912,0.9287809
0.074672416,0.92532754
0.119059764,0.8809402
0.029336032,0.97066396
0.16153505,0.8384649
0.046258524,0.9537415
0.014775165,0.98522484
0.01442396,0.98557603
0.062242657,0.9377573
0.015876666,0.9841234
0.025253482,0.97474647
0.068512574,0.93148744
0.068512574,0.93148744
0.032341875,0.96765816
0.048762955,0.9512371
0.2500748,0.74992514
0.20171805,0.7982819
0.098787665,0.90121233
0.07353685,0.92646307
0.04604996,0.95395005
0.04609616,0.9539038
0.12706997,0.87293005
0.021919563,0.9780804
0.019037474,0.9809625
0.16309361,0.8369064
0.19456822,0.8054318
0.06601901,0.93398094
0.039546896,0.9604531
0.21757734,0.7824226
0.013024666,0.9869754
0.023076797,0.9769232
0.022497658,0.97750235
0.006304985,0.9936951
0.010151116,0.98984885
0.006304985,0.9936951
0.004050459,0.99594957
0.10981741,0.89018255
0.0076234723,0.9923765
0.042393394,0.9576067
0.029853882,0.9701462
0.029853882,0.9701462
0.009282922,0.99071705
0.013993198,0.98600686
0.009282922,0.99071705
0.0061407103,0.9938593
0.018555019,0.981445
0.012428584,0.9875714
0.017357904,0.9826421
0.012428584,0.9875714
0.0061407103,0.9938593
0.017357904,0.9826421
0.0061407103,0.9938593
0.018087937,0.981912
0.04011461,0.95988536
0.04011461,0.95988536
0.019971333,0.9800287
0.009287309,0.9907127
0.008603161,0.9913968
0.017330164,0.9826698
0.03011976,0.9698802
0.008729546,0.9912705
0.0356617,0.96433824
0.019847995,0.98015195
0.012090689,0.9879094
0.007327204,0.99267286
0.087974176,0.9120258
0.120258845,0.87974113
0.25918558,0.74081445
0.1328782,0.8671218
0.060328487,0.9396715
0.13629982,0.86370015
0.08790595,0.91209406
0.12866768,0.8713323
0.03719465,0.9628054
0.02435624,0.97564375
0.028228825,0.9717711
0.028228825,0.9717711
0.032002944,0.9679971
0.026560642,0.97343934
0.037347347,0.9626527
0.010414966,0.989585
0.2636148,0.73638517
0.06784787,0.93215215
0.036337905,0.9636621
0.07899994,0.92100006
0.08503182,0.91496813
0.10433682,0.89566314
0.06074588,0.9392541
0.10409821,0.8959018
